Month,Day,Year,Song,Artist,Time
September,5,2014,Oh That I Had,Mt. Eden,3:08pm
September,5,2014,Demons feat. Gia Margaret - Original Mix,Dabin,3:03pm
September,5,2014,Mirrormask feat. Koda & CoMa - Original Mix,Dabin,2:59pm
September,5,2014,Waking,Koda,2:52pm
September,5,2014,One Minute (DotEXE's Dopest Dope Remix),Krewella,2:47pm
September,5,2014,I'd Like,Freshlyground,2:47pm
September,5,2014,I'd Like,Freshlyground,2:42pm
September,3,2014,Who We Are [Mix Cut] - Original Mix,Luigi Lusini,12:35pm
September,3,2014,...And Counting,LIGHTS,12:31pm
September,3,2014,The Take Down,Koda,12:25pm
September,2,2014,For All Time - Radio Edit,Aly & Fila,3:46pm
September,2,2014,Que Veux-Tu,Yelle,3:42pm
September,2,2014,Time Machine,Robyn,3:39pm
September,2,2014,Boring Horror,Born Gold,2:45pm
September,2,2014,Ideekay,Ephixa,1:08pm
September,2,2014,Demons feat. Gia Margaret - Original Mix,Dabin,1:03pm
September,2,2014,Mirrormask feat. Koda & CoMa - Original Mix,Dabin,1:01pm
September,2,2014,Snowblind (feat. Tasha Baxter),Au5,12:59pm
September,2,2014,The Take Down,Koda,12:53pm
September,2,2014,Plane vs. Tank vs. Submarine,Tigers Jaw,12:51pm
September,2,2014,Plane vs. Tank vs. Submarine,Tigers Jaw,12:49pm
September,2,2014,The Take Down,Koda,12:42pm
September,2,2014,Sierra Leone,Mt. Eden,12:32pm
September,2,2014,Mirrormask feat. Koda & CoMa - Original Mix,Dabin,12:28pm
September,2,2014,Waking,Koda,12:21pm
September,2,2014,Demons feat. Gia Margaret - Original Mix,Dabin,12:16pm
September,2,2014,Waking,Koda,12:15pm
September,2,2014,Demons feat. Gia Margaret - Original Mix,Dabin,12:10pm
September,2,2014,Mirrormask feat. Koda & CoMa - Original Mix,Dabin,11:39am
September,2,2014,Waking,Koda,11:39am
September,2,2014,Oh That I Had,Mt. Eden,11:33am
September,2,2014,The Take Down,Koda,11:27am
